"Model","Intercept_CO2","TIME_CO2","TIME_CO2_pvalue","TIME_CO2_r2","Date","TimeLog","JarID","Time","T.Air","A.Pressure","Volume","Label","STAGE_1","STAGE_2","STAGE_3","one_hour","two_min","four_hour","eight_hour","PRE_WET","twenty_four_hour","finalC02_flux","finalC02_flux_byarea","Original dried down (14%) soil wt (g)","dry_soil","finalC02flux_gSoil","finalC02flux_gSoil_hr"
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T105600_05",482.403215206479,0.459877857121616,5.18982771772472e-155,0.997197460036087,2024-07-20,"105600",5,10H 56M 0S,30.88,767.2,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00321952563983802,0.000115768631421719,"73.879",63.071,5.1046053492699e-05,0.183765792573716
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T110100_06",482.03453175424,0.472620538561435,1.00908598657976e-150,0.99669607932727,2024-07-20,"110100",6,11H 1M 0S,30.88,767.2,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00330873495700881,0.000118976445775218,"74.342",63.466,5.21339765702708e-05,0.187682315652975
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T110800_07",512.535684935943,1.12889576070398,8.00775873438113e-115,0.986898505766578,2024-07-20,"110800",7,11H 8M 0S,30.88,767.2,160,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,0.00790320470970135,0.000284185714120868,"73.378",62.643,0.000126162615291435,0.454185415049165
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T111300_08",522.15232320295,1.47142367185357,4.5598622938231e-116,0.987509484043721,2024-07-20,"111300",8,11H 13M 0S,30.88,767.2,160,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,0.0103011835974186,0.000370412930507679,"73.755",62.965,0.000163601740608569,0.588966266190849
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T112300_09",454.375460222523,0.941479821294621,2.92980035178259e-129,0.992471132484175,2024-07-20,"112300",9,11H 23M 0S,30.88,767.2,160,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,0.00659113801003592,0.000237006041353323,"72.528",61.917,0.000106451184812506,0.383224265325021
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T112900_10",533.604202441338,1.14006410989323,2.03792326442032e-121,0.98982753997924,2024-07-20,"112900",10,11H 29M 0S,30.88,767.2,160,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,0.00798139239804648,0.000286997209566576,"72.996",62.317,0.000128077288669969,0.46107823921189
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T113300_11",480.212939287095,1.06882087826027,1.0020626662335e-115,0.987344513745177,2024-07-20,"113300",11,11H 33M 0S,30.88,767.2,160,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,0.00748263080873474,0.000269062596502508,"72.345",61.761,0.000121154625228457,0.436156650822446
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T113900_12",537.65910387911,1.28342675491787,1.35407350715656e-109,0.98398799047963,2024-07-20,"113900",12,11H 39M 0S,30.88,767.2,160,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,0.00898504957419476,0.000323087003746665,"72.647",62.019,0.000144875757013089,0.52155272524712
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T114500_13",511.784281008258,0.353449083176646,1.80395785141125e-83,0.956373106077139,2024-07-20,"114500",13,11H 45M 0S,30.88,767.2,160,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,0.00247443613133894,8.89764880021192e-05,"71.429",60.979,4.05784963895593e-05,0.146082587002413
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T114900_14",499.40595295766,0.305732411167763,2.11132655762447e-90,0.966560164091601,2024-07-20,"114900",14,11H 49M 0S,30.88,767.2,160,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,0.00214037993228234,7.69643988594874e-05,"72.378",61.789,3.46401452084084e-05,0.12470452275027
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T115400_15",511.073724827425,0.340777388218265,1.33755570465726e-80,0.951295384830523,2024-07-20,"115400",15,11H 54M 0S,30.88,767.2,160,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,0.00238572377829359,8.57865436279607e-05,"72.034",61.495,3.87954106560466e-05,0.139663478361768
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T115800_16",490.548487512397,0.350549319943097,2.83590099986966e-84,0.958809449349752,2024-07-20,"115800",16,11H 58M 0S,30.88,767.2,160,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,0.00245413538857584,8.82465080394046e-05,"72.361",61.775,3.97269994103738e-05,0.143017197877346
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T120400_17",502.873801205799,0.515887420403739,1.8592460425514e-78,0.948415733310268,2024-07-20,"120400",17,12H 4M 0S,30.88,767.2,160,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,0.00361163894181689,0.000129868354614056,"72.218",61.653,5.8580100592297e-05,0.210888362132269
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T120900_18",515.607628159754,0.477286777265745,3.93523982037708e-81,0.948593528201684,2024-07-20,"120900",18,12H 9M 0S,30.88,767.2,160,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,0.00334140249017546,0.000120151114353666,"72.434",61.837,5.40356500182004e-05,0.194528340065522
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T123800_19",502.720635851445,1.0431648200224,6.84017187270332e-186,0.999143177910562,2024-07-20,"123800",19,12H 38M 0S,30.88,767.2,160,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,0.00730301716560138,0.000262603997324753,"73.178",62.472,0.000116900646139092,0.420842326100733
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T124400_20",481.222746186154,0.886797073567267,1.5385873286514e-138,0.994954502493788,2024-07-20,"124400",20,12H 44M 0S,30.88,767.2,160,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,0.00620831351514302,0.000223240327764941,"73.160",62.457,9.94014044085213e-05,0.357845055870677
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T125000_21",500.036073289693,1.67907770775987,3.15709783591387e-218,0.999752278800502,2024-07-20,"125000",21,12H 50M 0S,30.88,767.2,160,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,0.0117549337235947,0.000422687296785139,"73.335",62.606,0.000187760497773292,0.67593779198385
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T125500_22",485.282281885923,1.03981643408752,3.09237300725709e-134,0.994040320882066,2024-07-20,"125500",22,12H 55M 0S,30.88,767.2,160,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,0.00727957569260484,0.000261761082078563,"67.020",57.215,0.000127231944290917,0.458034999447303
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T130100_23",375.98008808047,2.00729841286626,8.56384299770141e-141,0.995163812351312,2024-07-20,"130100",23,13H 1M 0S,30.88,767.2,160,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,0.0140527503269635,0.000505312848866003,"73.203",62.493,0.000224869190580762,0.809529086090742
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T130700_24",469.164138219092,0.901658361448811,4.51283424246173e-158,0.997508039254698,2024-07-20,"130700",24,13H 7M 0S,30.88,767.2,160,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,0.00631235483097222,0.000226981475403532,"72.877",62.215,0.000101460336429675,0.365257211146829
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T131300_25",306.556542695319,3.41312985219135,9.82574897794749e-92,0.968226350305465,2024-07-20,"131300",25,13H 13M 0S,30.88,767.2,160,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,0.0238947340061225,0.000859213736286317,"72.928",62.259,0.00038379566016355,1.38166437658878
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T132200_26",494.084305134806,2.06226234927517,9.23542987913347e-109,0.984028688187611,2024-07-20,"132200",26,13H 22M 0S,30.88,767.2,160,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,0.0144375433753666,0.000519149348269206,"72.772",62.125,0.000232395064392219,0.836622231811989
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T133000_27",656.419110593778,4.00837181160594,1.27774844823416e-96,0.973657620541292,2024-07-20,"133000",27,13H 30M 0S,30.88,767.2,160,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,0.0280619204026092,0.00100905862648721,"72.610",61.987,0.00045270654173632,1.62974355025075
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T133800_28",762.448914070735,2.9167946276035,6.97989644811447e-102,0.978474035450433,2024-07-20,"133800",28,13H 38M 0S,30.88,767.2,160,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,0.0204199766183304,0.000734267408066536,"72.627",62.002,0.000329343837591213,1.18563781532837
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T134300_29",598.347455024602,2.30133508249593,1.07854173342078e-113,0.986318275643048,2024-07-20,"134300",29,13H 43M 0S,30.88,767.2,160,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,0.0161112503879372,0.000579332987700009,"72.817",62.164,0.000259173321985993,0.933023959149573
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T134800_30",515.947823574702,2.32757652971869,1.6305446660302e-103,0.979780266363487,2024-07-20,"134800",30,13H 48M 0S,30.88,767.2,160,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,0.0162949622384902,0.000585938951402021,"73.503",62.75,0.00025968067312335,0.93485042324406
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T135500_31",652.650380337122,0.590335898698369,1.29838618804912e-83,0.956611483096377,2024-07-20,"135500",31,13H 55M 0S,30.88,767.2,160,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,0.00413283991073656,0.000148609849361257,"71.340",60.903,6.78593814875549e-05,0.244293773355198
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T135900_32",534.536652542289,0.761674649148604,5.87297030011824e-77,0.943991775779449,2024-07-20,"135900",32,13H 59M 0S,30.88,767.2,160,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,0.00533235298063081,0.000191742286250659,"72.029",61.491,8.67176168972827e-05,0.312183420830218
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T140700_33",565.445411052556,0.576108132744624,2.14553084674868e-88,0.966838083879245,2024-07-20,"140700",33,14H 7M 0S,30.88,767.2,160,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,0.00403323377276679,0.000145028183127177,"73.469",62.72,6.43053854076337e-05,0.231499387467481
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T141100_34",749.853918696984,0.390577729238882,1.66327440686568e-78,0.94722044612282,2024-07-20,"141100",34,14H 11M 0S,30.88,767.2,160,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,0.00273436738508101,9.83231709845744e-05,"70.889",60.518,4.51827123348593e-05,0.162657764405493
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T142100_35",521.290586092836,0.497440174343484,4.01805936011013e-92,0.968696251850514,2024-07-20,"142100",35,14H 21M 0S,30.88,767.2,160,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,0.00348249295064628,0.000125224485819715,"71.223",60.803,5.72750185130055e-05,0.20619006664682
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T142700_36",545.306372591459,0.897808298168337,1.30180639863678e-70,0.928557826083998,2024-07-20,"142700",36,14H 27M 0S,30.88,767.2,160,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,0.00628540120131919,0.000226012269015433,"68.100",58.137,0.000108113614416279,0.389209011898603
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T113700_01",506.351580865175,0.227294662300368,1.64104231557157e-127,0.991948703691095,2024-07-22,"113700",1,11H 37M 0S,29.33,766.4,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00159773703891669,5.74518892095179e-05,"74.469",63.574,2.51319256129344e-05,0.0904749322065639
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T115200_02",518.523406065673,0.280651045366977,5.01797516480072e-152,0.996857271534674,2024-07-22,"115200",2,11H 52M 0S,29.33,766.4,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.0019727985059365,7.09384576028947e-05,"73.443",62.698,3.14650946750534e-05,0.113274340830192
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T132100_03",615.322017060944,0.608723495725677,7.35209083007197e-150,0.996584896063266,2024-07-22,"132100",3,13H 21M 0S,29.33,766.4,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00427893935447768,0.000153863335292258,"73.713",62.929,6.79963030475247e-05,0.244786690971089
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T132500_04",514.765991910674,0.355037343740189,2.48593680275542e-142,0.995440843599913,2024-07-22,"132500",4,13H 25M 0S,29.33,766.4,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00249568691385578,8.97406297682768e-05,"73.815",63.016,3.96040198339434e-05,0.142574471402196
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T133600_05",491.842709141137,0.401446056288228,1.47094803549982e-157,0.997458480268583,2024-07-22,"133600",5,13H 36M 0S,29.33,766.4,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00282191067210864,0.000101471077745726,"73.879",63.071,4.47418095814025e-05,0.161070514493049
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T134100_06",479.502643233616,0.398696412344153,1.72375117573287e-150,0.996666463007304,2024-07-22,"134100",6,13H 41M 0S,29.33,766.4,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00280258242247523,0.000100776066971422,"74.342",63.466,4.41588003415251e-05,0.15897168122949
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T134800_19",506.299287048817,0.858519101450327,7.01523135138899e-154,0.99707315636236,2024-07-22,"134800",19,13H 48M 0S,29.33,766.4,160,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,0.00603484372717908,0.000217002651103167,"73.178",62.472,9.6600776782864e-05,0.34776279641831
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T135300_20",518.601624223038,0.878942568427175,4.04523299536993e-136,0.994213654998926,2024-07-22,"135300",20,13H 53M 0S,29.33,766.4,160,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,0.00617840772169506,0.000222164966619743,"73.160",62.457,9.89225822837321e-05,0.356121296221436
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T135700_21",573.11441923396,1.58567728611035,1.75347354804728e-164,0.998051499000432,2024-07-22,"135700",21,13H 57M 0S,29.33,766.4,160,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,0.0111463036841552,0.000400802002306911,"73.335",62.606,0.000178038904963665,0.640940057869193
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T140300_22",586.070691630786,1.11122436645177,1.45629646720632e-147,0.996270217985026,2024-07-22,"140300",22,14H 3M 0S,29.33,766.4,160,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,0.00781120115561923,0.000280877423790695,"67.020",57.215,0.000136523659103718,0.491485172773385
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T140900_07",578.363585534382,1.01977955264175,2.40007068214687e-114,0.986656640863199,2024-07-22,"140900",7,14H 9M 0S,29.33,766.4,160,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,0.00716840222421264,0.000257763474441303,"73.378",62.643,0.000114432613767103,0.411957409561571
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T143100_08",572.964025130444,1.38193572157914,1.41579614927883e-112,0.98571847006793,2024-07-22,"143100",8,14H 31M 0S,29.33,766.4,160,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,0.00971412995546386,0.00034930348635253,"73.755",62.965,0.000154278249114014,0.555401696810449
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T143600_09",602.00977414654,1.09855965051996,1.87403305488307e-119,0.989031439923688,2024-07-22,"143600",9,14H 36M 0S,29.33,766.4,160,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,0.00772217625056066,0.00027767624058111,"72.528",61.917,0.000124718191297393,0.448985488670614
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T144000_10",569.888240763198,1.23098446902231,2.94758875776112e-116,0.987599973193335,2024-07-22,"144000",10,14H 40M 0S,29.33,766.4,160,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,0.00865303857373053,0.000311148456444823,"72.996",62.317,0.000138855185161842,0.499878666582632
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T144500_23",513.079723614686,1.38301002574177,3.67655909950652e-146,0.996064022779773,2024-07-22,"144500",23,14H 45M 0S,29.33,766.4,160,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,0.00972168163104802,0.000349575031680979,"73.203",62.493,0.00015556432930165,0.56003158548594
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T145000_24",600.266667475159,0.923254106621814,2.62534837112624e-157,0.997433823297003,2024-07-22,"145000",24,14H 50M 0S,29.33,766.4,160,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,0.00648988967691752,0.000233365324592503,"72.877",62.215,0.000104313906243149,0.375530062475336
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T145500_25",680.704702945268,2.4841500292445,1.18419097156574e-98,0.975634322527549,2024-07-22,"145500",25,14H 55M 0S,29.33,766.4,160,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,0.0174619961233621,0.000627903492389862,"72.928",62.259,0.000280473443572208,1.00970439685995
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T145900_26",589.678524388592,1.23886988345158,2.58033843063647e-110,0.984424285031236,2024-07-22,"145900",26,14H 59M 0S,29.33,766.4,160,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,0.00870846802628934,0.000313141604684982,"72.772",62.125,0.000140176547706871,0.504635571744735
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T150400_11",599.690063105337,0.930540326018352,3.67944207853301e-114,0.986561293670224,2024-07-22,"150400",11,15H 4M 0S,29.33,766.4,160,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,0.00654110716916173,0.000235207017949002,"72.345",61.761,0.000105909994481335,0.381275980132806
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T150800_12",591.613542126951,1.230880976535,4.88546051398561e-110,0.984257711417277,2024-07-22,"150800",12,15H 8M 0S,29.33,766.4,160,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,0.00865231108731029,0.000311122297278328,"72.647",62.019,0.000139510651369907,0.502238344931667
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T151300_13",595.140790962953,0.426145918492108,5.1799991521874e-83,0.955599642095251,2024-07-22,"151300",13,15H 13M 0S,29.33,766.4,160,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,0.00299553500758522,0.000107714311671529,"71.429",60.979,4.91240428276164e-05,0.176846554179419
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T151700_14",569.889730266571,0.423143608672234,7.15147109083258e-85,0.958657291063882,2024-07-22,"151700",14,15H 17M 0S,29.33,766.4,160,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,0.00297443067740444,0.000106955436080706,"72.378",61.789,4.8138514580337e-05,0.173298652489213
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T152200_15",578.810772272909,0.370072304962312,8.42789980261904e-85,0.958544014620955,2024-07-22,"152200",15,15H 22M 0S,29.33,766.4,160,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,0.00260137313710513,9.35409254622484e-05,"72.034",61.495,4.23021893992215e-05,0.152287881837197
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T152600_16",524.380553312559,0.438405351908823,7.27158976410894e-83,0.955348039806474,2024-07-22,"152600",16,15H 26M 0S,29.33,766.4,160,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,0.0030817110341042,0.000110813054085013,"72.361",61.775,4.98860547811283e-05,0.179589797212062
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T153100_17",590.922329759005,0.426535531242049,6.10449545114813e-87,0.961811594776166,2024-07-22,"153100",17,15H 31M 0S,29.33,766.4,160,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,0.00299827373763332,0.000107812791716409,"72.218",61.653,4.86314329819039e-05,0.175073158734854
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T153600_18",584.292667703167,0.417372346928996,1.96687144677484e-83,0.956310217119237,2024-07-22,"153600",18,15H 36M 0S,29.33,766.4,160,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,0.00293386237476534,0.0001054966693551,"72.434",61.837,4.74450955700525e-05,0.170802344052189
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T154000_27",710.503616027969,1.6940892601637,2.70466490276238e-107,0.98251032745354,2024-07-22,"154000",27,15H 40M 0S,29.33,766.4,160,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,0.0119083709700918,0.000428204637543753,"72.610",61.987,0.00019211078081036,0.691598810917296
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T154400_28",568.863930913585,2.5233531843461,9.07938715892149e-103,0.979193356387104,2024-07-22,"154400",28,15H 44M 0S,29.33,766.4,160,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,0.0177375693916223,0.00063781263544129,"72.627",62.002,0.000286080600490666,1.0298901617664
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T154800_29",579.062193886082,2.05588356723426,2.39864615017929e-106,0.981862522924117,2024-07-22,"154800",29,15H 48M 0S,29.33,766.4,160,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,0.0144515550423686,0.000519653183832024,"72.817",62.164,0.00023247466447411,0.836908792106797
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T155200_30",670.796800701207,2.48172200871717,1.5468466548353e-104,0.980558482305959,2024-07-22,"155200",30,15H 52M 0S,29.33,766.4,160,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,0.017444928681969,0.00062728977641025,"73.503",62.75,0.000278006831585164,1.00082459370659
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T160600_31",600.236206036594,0.99961822874156,2.12644880875641e-69,0.925155466520581,2024-07-22,"160600",31,16H 6M 0S,29.33,766.4,160,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,0.00702668092894367,0.000252667419235659,"71.340",60.903,0.000115374955731962,0.415349840635062
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T161000_32",605.811456240644,0.93588132680812,2.36633239842619e-69,0.925022103274722,2024-07-22,"161000",32,16H 10M 0S,29.33,766.4,160,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,0.0065786510107123,0.000236557030230575,"72.029",61.491,0.000106985591561567,0.38514812962164
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T161400_33",596.750930312173,0.820642447153369,2.80308537123113e-74,0.937930934639021,2024-07-22,"161400",33,16H 14M 0S,29.33,766.4,160,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,0.00576859491663499,0.000207428799591334,"73.469",62.72,9.19737709922671e-05,0.331105575572161
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T161800_36",557.974779760823,0.720537071121965,7.06116042171974e-68,0.920659222534073,2024-07-22,"161800",36,16H 18M 0S,29.33,766.4,160,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,0.00506491773626771,0.00018212577260941,"68.100",58.137,8.71203835125257e-05,0.313633380645092
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T162300_34",569.43574846425,0.63699337785547,1.01204425989146e-72,0.934109913723396,2024-07-22,"162300",34,16H 23M 0S,29.33,766.4,160,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,0.00447765866142247,0.00016100894143914,"70.889",60.518,7.39888737470252e-05,0.266359945489291
"22-july-2024 (Day 7)/TG10-01136-2024-07-22T162800_35",579.298493934658,0.594371035057051,3.0912820269901e-79,0.948679513097122,2024-07-22,"162800",35,16H 28M 0S,29.33,766.4,160,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,0.00417805067641645,0.000150235551111703,"71.223",60.803,6.87145482363773e-05,0.247372373650958
"23-July-2024 (Day 8)/TG10-01136-2024-07-23T112400_02",519.295738842975,0.471024292101342,4.01364573823431e-158,0.997635290466209,2024-07-23,"112400",2,11H 24M 0S,31.79,767.8,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00329029056244589,0.000118313216916429,"73.443",62.698,5.24783974360567e-05,0.188922230769804
"23-July-2024 (Day 8)/TG10-01136-2024-07-23T113200_01",498.887865286943,0.208208977565999,1.14055374116384e-131,0.993136114958617,2024-07-23,"113200",1,11H 32M 0S,31.79,767.8,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.0014544218746037,5.22985212011397e-05,"74.469",63.574,2.28776209551656e-05,0.0823594354385961
"23-July-2024 (Day 8)/TG10-01136-2024-07-23T113600_03",553.081532454786,0.499727893966381,3.87322683254121e-163,0.997948350540086,2024-07-23,"113600",3,11H 36M 0S,31.79,767.8,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00349079654888538,0.000125523068999834,"73.713",62.929,5.54719850766002e-05,0.199699146275761
"23-July-2024 (Day 8)/TG10-01136-2024-07-23T114000_04",540.130436797182,0.423365533125592,4.50464854082115e-150,0.99661266466586,2024-07-23,"114000",4,11H 40M 0S,31.79,767.8,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00295737532324193,0.000106342154737214,"73.815",63.016,4.6930546579312e-05,0.168949967685523
"23-July-2024 (Day 8)/TG10-01136-2024-07-23T114400_05",542.611902402676,0.443452959312142,3.26786179210257e-153,0.99699713174962,2024-07-23,"114400",5,11H 44M 0S,31.79,767.8,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00309769392233281,0.00011138777138917,"73.879",63.071,4.91143936568757e-05,0.176811817164752
"23-July-2024 (Day 8)/TG10-01136-2024-07-23T132500_06",549.047186963232,0.406334980057562,1.0951644078599e-139,0.994953976872718,2024-07-23,"132500",6,13H 25M 0S,31.79,767.8,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00283841018922944,0.000102064372140577,"74.342",63.466,4.47233194029786e-05,0.161003949850723
"23-July-2024 (Day 8)/TG10-01136-2024-07-23T132900_07",617.723434913637,0.804910075639167,4.29082141522625e-122,0.990088269783574,2024-07-23,"132900",7,13H 29M 0S,31.79,767.8,160,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,0.00562261452308143,0.00020217959450131,"73.378",62.643,8.97564695669337e-05,0.323123290440961
"23-July-2024 (Day 8)/TG10-01136-2024-07-23T133300_08",632.792012599919,1.64865336675247,3.69174848625367e-114,0.98703940081529,2024-07-23,"133300",8,13H 33M 0S,31.79,767.8,160,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,0.0115164943811501,0.000414113426147072,"73.755",62.965,0.000182903110952911,0.658451199430481
