"...1","Model","Intercept_CO2","TIME_CO2","TIME_CO2_pvalue","Intercept_CH4","TIME_CH4","TIME_CH4_pvalue","Date","TimeLog","JarID","Time","T.Air","A.Pressure","Volume","Area","Label","STAGE_1","STAGE_2","STAGE_3","PRE_WET","three_min","one_hour","four_hour","eight_hour","tweny_four_hour","TIME_CO2_mol_per_mol_per_s","TIME_CH4_mol_per_mol_per_s","finalC02_flux","finalCH4_flux","finalC02_flux_byarea","finalCH4_flux_byarea"
65,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T114000_25",-70641.37597,1.69548047,1.59924138033312e-107,194.7109049,0.042225782,3.20974177493904e-52,"7/17/24","114000","25","11H 40M 0S",30.69,766.5,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.69548047e-06,4.2225782e-08,1.09741725856218e-08,2.73310738419089e-10,3.94612462625741e-10,9.82778635092014e-12
66,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T114600_26",-56807.70384,1.356284474,1.1974738011702e-123,-713.4740875,0.063312559,3.48876329741851e-72,"7/17/24","114600","26","11H 46M 0S",30.69,766.5,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.356284474e-06,6.3312559e-08,8.77869144247668e-09,4.09797082064511e-10,3.15666718535659e-10,1.4735601656401e-11
67,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T115100_27",-53232.77509,1.26268969,1.94443347200281e-121,-446.9963196,0.056609809,1.84845299299921e-68,"7/17/24","115100","27","11H 51M 0S",30.69,766.5,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.26268969e-06,5.6609809e-08,8.17288952915237e-09,3.66412839898468e-10,2.93883118631872e-10,1.31755785652092e-11
68,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T115500_28",-74536.5424,1.752152445,4.86861663772568e-115,-73.49531568,0.047570112,9.99051095357694e-63,"7/17/24","115500","28","11H 55M 0S",30.69,766.5,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.752152445e-06,4.7570112e-08,1.13409878013807e-08,3.07902466729894e-10,4.07802509938178e-10,1.1071645693272e-11
69,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T115900_29",-71407.96935,1.66944452,3.21421149132872e-125,-875.2972772,0.065910988,3.29307637334098e-73,"7/17/24","115900","29","11H 59M 0S",30.69,766.5,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.66944452e-06,6.5910988e-08,1.08056522081912e-08,4.26615682338618e-10,3.88552758295262e-10,1.53403697352973e-11
70,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T120600_30",-45834.87972,1.066859382,4.50491706844757e-120,-603.0241045,0.05926365,3.9992521651785e-62,"7/17/24","120600","30","12H 6M 0S",30.69,766.5,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.066859382e-06,5.926365e-08,6.90535761975357e-09,3.83590100069916e-10,2.48304840695921e-10,1.37932434401264e-11
71,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T121200_31",-17980.1917,0.423297683,1.02715960642188e-97,1934.589582,0.000827395,0.009935374,"7/17/24","121200","31","12H 12M 0S",30.69,766.5,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,4.23297683e-07,8.27395e-10,2.73983800493782e-09,5.3553996564057e-12,9.85198851110329e-11,1.92571005264499e-13
72,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T121700_32",-29415.03311,0.681677252,4.41461073240398e-74,1036.047106,0.021526961,3.89282526145787e-30,"7/17/24","121700","32","12H 17M 0S",30.69,766.5,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,6.81677252e-07,2.1526961e-08,4.41222647120225e-09,1.39335480082499e-10,1.58656111873508e-10,5.0102653751348e-12
73,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T122300_33",-29791.50237,0.684487285,3.48716442840518e-76,1461.883223,0.011720431,3.71130170484307e-34,"7/17/24","122300","33","12H 23M 0S",30.69,766.5,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,6.84487285e-07,1.1720431e-08,4.43041470023758e-09,7.58617010621611e-11,1.59310129458381e-10,2.72785692420572e-12
74,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T122800_34",-32793.35957,0.744769462,2.11994219044356e-73,820.9434132,0.025644628,6.40616864468139e-37,"7/17/24","122800","34","12H 28M 0S",30.69,766.5,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,7.44769462e-07,2.5644628e-08,4.82059732158916e-09,1.65987505338867e-10,1.73340428679941e-10,5.96862658536021e-12
75,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T123400_35",-36243.41361,0.815470458,4.36152341506894e-72,682.4380164,0.028481303,1.09477208896006e-33,"7/17/24","123400","35","12H 34M 0S",30.69,766.5,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,8.15470458e-07,2.8481303e-08,5.27821682579929e-09,1.84348177472896e-10,1.89795642783146e-10,6.62884492890673e-12
76,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T123900_36",-29141.19856,0.653738254,2.16089716773412e-72,1126.405559,0.018467145,7.54475424692959e-32,"7/17/24","123900","36","12H 39M 0S",30.69,766.5,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,6.53738254e-07,1.8467145e-08,4.23138841889408e-09,1.19530504762289e-10,1.52153485037543e-10,4.29811236110353e-12
77,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T124500_82",-1003.879121,0.034675152,4.17975740799146e-42,1776.735829,0.003967281,2.28145160408778e-21,"7/17/24","124500","82","12H 45M 0S",30.69,766.5,160,27.8,"BLANK","BLANK",NA,NA,NA,NA,NA,NA,NA,NA,3.4675152e-08,3.967281e-09,2.24438505316826e-10,2.56786363275883e-11,8.07042449898693e-12,9.23359810413098e-13
78,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T125000_83",-344.7549194,0.02047923,2.08976882168756e-38,1802.170319,0.003466603,8.22735364617178e-22,"7/17/24","125000","83","12H 50M 0S",30.69,766.5,160,27.8,"BLANK","BLANK",NA,NA,NA,NA,NA,NA,NA,NA,2.047923e-08,3.466603e-09,1.32553932892335e-10,2.24379462228984e-11,4.76641254557119e-12,8.0683014106071e-13
79,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T125600_84",-453.4055442,0.021875749,3.51098303771798e-23,1784.367354,0.00368656,2.73612846030639e-17,"7/17/24","125600","84","12H 56M 0S",30.69,766.5,160,27.8,"BLANK","BLANK",NA,NA,NA,NA,NA,NA,NA,NA,2.1875749e-08,3.68656e-09,1.41593046462956e-10,2.38616406399833e-11,5.09144359809263e-12,8.5802375548304e-13
80,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T130400_85",-298.0435823,0.018177036,2.31159620190671e-18,1819.056479,0.00286804,2.35202656000667e-12,"7/17/24","130400","85","13H 4M 0S",30.69,766.5,160,27.8,"BLANK","BLANK",NA,NA,NA,NA,NA,NA,NA,NA,1.8177036e-08,2.86804e-09,1.17652744274348e-10,1.85636853383908e-11,4.2305913079593e-12,6.67518350895029e-13
81,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T102800_01",-10945.74099,0.302778214,2.33620597411473e-129,1983.033847,0.000387878,0.233205897,"7/20/24","102800","01","10H 28M 0S",30.88,767.2,160,27.8,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,3.02778214e-07,3.87878e-10,1.96032717352881e-09,2.5113028225142e-12,7.04900098356278e-11,9.03021511152174e-14
82,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T103400_02",-25527.81178,0.682831783,2.92503590215326e-131,-171.9180112,0.055866083,1.33946298120788e-111,"7/20/24","103400","02","10H 34M 0S",30.88,767.2,160,27.8,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,6.82831783e-07,5.5866083e-08,4.42097098559419e-09,3.61703040442388e-10,1.58970549643804e-10,1.30062222381297e-11
83,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T104000_03",-12900.62113,0.347821744,5.52040975619691e-156,1213.472757,0.019283725,1.25216112276403e-98,"7/20/24","104000","03","10H 40M 0S",30.88,767.2,160,27.8,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,3.47821744e-07,1.9283725e-08,2.25195996534738e-09,1.24851816862744e-10,8.09766258665005e-11,4.48945763620081e-12
84,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T104600_04",-18092.25394,0.479204008,1.79948813637378e-150,1274.607518,0.017552087,1.76831684562902e-77,"7/20/24","104600","04","10H 46M 0S",30.88,767.2,160,27.8,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,4.79204008e-07,1.7552087e-08,3.10258993253166e-09,1.13640385956705e-10,1.11563823535838e-10,4.08631377046763e-12
85,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T105600_05",-17618.38924,0.459877857,5.18982771843866e-155,1907.44567,0.001231012,0.000692462,"7/20/24","105600","05","10H 56M 0S",30.88,767.2,160,27.8,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,4.59877857e-07,1.231012e-09,2.97746342998541e-09,7.97014502020957e-12,1.07064488672614e-10,2.86592773110736e-13
86,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T110100_06",-18262.09603,0.472620539,1.0090859865193e-150,1902.716929,0.001427826,1.24552939011219e-05,"7/20/24","110100","06","11H 1M 0S",30.88,767.2,160,27.8,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,4.72620539e-07,1.427826e-09,3.05996548803717e-09,9.24441052047076e-12,1.10031121468435e-10,3.32413179448787e-13
87,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T110800_07",-44733.6064,1.128895761,8.00775873392043e-115,612.9266325,0.03385079,2.04202737187532e-72,"7/20/24","110800","07","11H 8M 0S",30.88,767.2,160,27.8,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,1.128895761e-06,3.385079e-08,7.30899692924995e-09,2.19165780145652e-10,2.62819019390505e-10,7.88082632670451e-12
88,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T111300_08",-58893.93555,1.471423672,4.55986229413521e-116,911.8390445,0.026237208,8.92744543588694e-67,"7/20/24","111300","08","11H 13M 0S",30.88,767.2,160,27.8,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,1.471423672e-06,2.6237208e-08,9.52668215420262e-09,1.69871904323762e-10,3.42563184257556e-10,6.10830292426328e-12
89,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T112300_09",-38127.46762,0.941479821,2.92980035173129e-129,1696.020757,0.007005528,3.44575908563901e-42,"7/20/24","112300","09","11H 23M 0S",30.88,767.2,160,27.8,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,9.41479821e-07,7.005528e-09,6.09557884648642e-09,4.53570510304844e-11,2.19186582038347e-10,1.63096192126877e-12
90,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T112900_10",-46934.289,1.148218286,3.46772369806196e-121,831.8189261,0.02763678,2.29986070864266e-75,"7/20/24","112900","10","11H 29M 0S",30.88,767.2,160,27.8,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,1.148218286e-06,2.763678e-08,7.43409995538343e-09,1.78933385289199e-10,2.67317510082108e-10,6.43413827001794e-12
91,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T113300_11",-43961.35918,1.068820878,1.00206266621203e-115,880.5018536,0.026071522,7.64550232484817e-73,"7/20/24","113300","11","11H 33M 0S",30.88,767.2,160,27.8,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,1.068820878e-06,2.6071522e-08,6.92004415739872e-09,1.68799175993073e-10,2.4883294345195e-10,6.06972944958909e-12
92,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T113900_12",-53289.259,1.283426755,1.35407350720505e-109,854.0016029,0.026486893,2.6911827941751e-63,"7/20/24","113900","12","11H 39M 0S",30.88,767.2,160,27.8,"25-50",NA,"25-50",NA,NA,NA,NA,NA,NA,NA,1.283426755e-06,2.6486893e-08,8.30950255575654e-09,1.71488481302192e-10,2.98795489239718e-10,6.16643226545098e-12
93,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T114500_13",-14439.11194,0.353449083,1.80395785140514e-83,727.7842304,0.029279957,3.92180796024452e-65,"7/20/24","114500","13","11H 45M 0S",30.88,767.2,160,27.8,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,3.53449083e-07,2.9279957e-08,2.28839397891336e-09,1.89572078481363e-10,8.22867306333461e-11,6.81668746786636e-12
94,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T114900_14",-12506.45082,0.305732411,2.1113265575318e-90,-41.25388608,0.049202501,1.10154056044788e-41,"7/20/24","114900","14","11H 49M 0S",30.88,767.2,160,27.8,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,3.05732411e-07,4.9202501e-08,1.97945402079615e-09,3.18559907074022e-10,7.11777785255719e-11,1.14548690066171e-11
95,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T115400_15",-14087.82959,0.340777388,1.33755570466163e-80,575.957765,0.032633756,4.62998520238414e-69,"7/20/24","115400","15","11H 54M 0S",30.88,767.2,160,27.8,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,3.40777388e-07,3.2633756e-08,2.20635152376112e-09,2.11286135207564e-10,7.93366243711298e-11,7.5974877816456e-12
96,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T120400_17",-22892.9768,0.53851883,6.56742753387985e-77,1245.255909,0.016685062,3.82422883895185e-45,"7/20/24","120400","17","12H 4M 0S",30.88,767.2,160,27.8,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,5.3851883e-07,1.6685062e-08,3.48662171547766e-09,1.08026862298002e-10,1.25372949136198e-10,3.88446106788932e-12
97,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T120900_18",-20708.72596,0.485225169,6.15107411198927e-80,982.8952603,0.022650609,8.36937505048663e-65,"7/20/24","120900","18","12H 9M 0S",30.88,767.2,160,27.8,"25-20",NA,"25-20",NA,NA,NA,NA,NA,NA,NA,4.85225169e-07,2.2650609e-08,3.14157373314451e-09,1.4665059197316e-10,1.12965614280637e-10,5.27330427807121e-12
98,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T121300_82",-513.1683251,0.022795242,3.67077603813206e-33,1248.249245,0.016204791,1.73254071243983e-83,"7/20/24","121300","82","12H 13M 0S",30.88,767.2,160,27.8,"BLANK",NA,"BLANK",NA,NA,NA,NA,NA,NA,NA,2.2795242e-08,1.6204791e-08,1.47587013376614e-10,1.04917364162321e-10,5.30697638894691e-12,3.7726488371924e-12
99,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T122100_83",-225.7999798,0.015951048,7.96924412049419e-23,1546.753603,0.00941468,1.20516889473538e-31,"7/20/24","122100","83","12H 21M 0S",30.88,767.2,160,27.8,"BLANK",NA,"BLANK",NA,NA,NA,NA,NA,NA,NA,1.5951048e-08,9.41468e-09,1.03274513801916e-10,6.0955023118269e-11,3.71357475015878e-12,2.19183829982988e-12
100,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T123800_19",-47054.91383,1.045676632,2.43313651744976e-183,-22653.87896,0.540948513,9.69543366993527e-130,"7/20/24","123800","19","12H 38M 0S",30.88,767.2,160,27.8,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,1.045676632e-06,5.40948513e-07,6.77019752958079e-09,3.50235261482156e-09,2.43444715195282e-10,1.25938605351369e-10
101,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T124400_20",-40081.74741,0.884885177,2.91710159220128e-139,-167.1127365,0.046513593,7.49152805056122e-124,"7/20/24","124400","20","12H 44M 0S",30.88,767.2,160,27.8,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,8.84885177e-07,4.6513593e-08,5.72915876280963e-09,3.01150664348523e-10,2.06010742999268e-10,1.08288624361209e-11
102,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T125000_21",-79689.78928,1.735580872,1.27360301099776e-181,-59503.83525,1.330091699,3.46203938442895e-212,"7/20/24","125000","21","12H 50M 0S",30.88,767.2,160,27.8,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,1.735580872e-06,1.330091699e-06,1.1236958895723e-08,8.61163313696937e-09,4.04061808548113e-10,3.09659587809039e-10
103,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T125500_22",-48572.23204,1.054960845,1.9208993877393e-132,1369.470379,0.012889522,8.61093952816439e-70,"7/20/24","125500","22","12H 55M 0S",30.88,767.2,160,27.8,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,1.054960845e-06,1.2889522e-08,6.83030784857729e-09,8.34527686011035e-11,2.45606179380701e-10,3.00081871992461e-12
104,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T130100_23",-125400.686,2.682299266,2.42097478230843e-30,-3727.185539,0.121270469,5.48875625476996e-16,"7/20/24","130100","23","13H 1M 0S",30.88,767.2,160,27.8,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,2.682299266e-06,1.21270469e-07,1.73664547036273e-08,7.85161496881289e-10,6.24467986466283e-10,2.82330635340269e-11
105,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T130700_24",-47257.16034,1.010344233,5.64538081166684e-143,157.551259,0.038224611,1.00267907261591e-131,"7/20/24","130700","24","13H 7M 0S",30.88,767.2,160,27.8,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,1.010344233e-06,3.8224611e-08,6.54143912272375e-09,2.47483934365463e-10,2.35218954430915e-10,8.89909868268477e-12
106,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T131300_25",-162090.1618,3.413129852,9.82574897780699e-92,310.2187989,0.03479015,5.8065678213333e-65,"7/20/24","131300","25","13H 13M 0S",30.88,767.2,160,27.8,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,3.413129852e-06,3.479015e-08,2.20981922948326e-08,2.25247634283698e-10,7.94613171335223e-10,8.09951939171874e-12
107,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T132200_26",-98386.87835,2.054897694,2.68330506607227e-109,-889.7408661,0.059759171,3.31048858957254e-83,"7/20/24","132200","26","13H 22M 0S",30.88,767.2,160,27.8,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,2.054897694e-06,5.9759171e-08,1.33043647201443e-08,3.86908705323345e-10,4.78402183392458e-10,1.39125748048668e-11
108,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T133000_27",-183565.9612,3.790914593,3.42336043923283e-100,-378.0841081,0.048471653,9.45584298287018e-80,"7/20/24","133000","27","13H 30M 0S",30.88,767.2,160,27.8,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,3.790914593e-06,4.8471653e-08,2.45441466577407e-08,3.13828056736471e-10,8.82565503694381e-10,1.12847197675825e-11
109,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T133800_28",-180932.602,3.700722795,1.15988818301416e-97,487.3624597,0.030465632,1.51721520686456e-71,"7/20/24","133800","28","13H 38M 0S",30.88,767.2,160,27.8,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,3.700722795e-06,3.0465632e-08,2.39602029515109e-08,1.97248690648294e-10,8.61567887504885e-10,7.09272530198826e-12
110,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T134300_29",-130433.509,2.652814355,1.22367106038651e-109,-401.2731197,0.04813734,4.04015974465531e-75,"7/20/24","134300","29","13H 43M 0S",30.88,767.2,160,27.8,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,2.652814355e-06,4.813734e-08,1.71755556574946e-08,3.11663558671349e-10,6.1760358351293e-10,1.12068881219471e-11
111,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T134800_30",-115118.0542,2.32757653,1.63054466607414e-103,-537.1668554,0.050611028,1.92755293779371e-68,"7/20/24","134800","30","13H 48M 0S",30.88,767.2,160,27.8,"35-50",NA,"35-50",NA,NA,NA,NA,NA,NA,NA,2.32757653e-06,5.0611028e-08,1.50698145020001e-08,3.27679366880166e-10,5.41884735778501e-10,1.17827891722462e-11
112,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T135500_31",-55719.50659,1.123863337,7.42153057167734e-70,282.0872429,0.033845007,1.13821386121059e-78,"7/20/24","135500","31","13H 55M 0S",30.88,767.2,160,27.8,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,1.123863337e-06,3.3845007e-08,7.27641467247001e-09,2.19128338310275e-10,2.61647417204963e-10,7.87947998239032e-12
113,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T135900_32",-39113.54226,0.787529223,5.256801404068e-76,1094.89444,0.017500008,4.56108008476101e-64,"7/20/24","135900","32","13H 59M 0S",30.88,767.2,160,27.8,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,7.87529223e-07,1.7500008e-08,5.09883097399778e-09,1.13303202255403e-10,1.83345234591794e-10,4.07418922169732e-12
114,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T140700_33",-31395.94973,0.628829972,1.85528784120359e-86,1582.125594,0.007808315,1.1151908688305e-38,"7/20/24","140700","33","14H 7M 0S",30.88,767.2,160,27.8,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,6.28829972e-07,7.808315e-09,4.07133811034687e-09,5.05546679589457e-11,1.46398349886619e-10,1.81785932969959e-12
115,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T141100_34",-19193.04494,0.390577729,1.66327440687783e-78,3320.781801,-0.023874219,3.52265364925337e-21,"7/20/24","141100","34","14H 11M 0S",30.88,767.2,160,27.8,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,3.90577729e-07,-2.3874219e-08,2.52878212543347e-09,-1.54572812997958e-10,9.09306769303658e-11,-5.55817378633435e-12
116,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T142100_35",-25176.46882,0.497440174,4.01805936028364e-92,1948.941701,0.000429547,0.196142562,"7/20/24","142100","35","14H 21M 0S",30.88,767.2,160,27.8,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,4.97440174e-07,4.29547e-10,3.2206593645377e-09,2.7810873354573e-12,1.1580939822142e-10,1.0000314043356e-13
117,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T142700_36",-46158.6813,0.897808298,1.30180639865e-70,265.9606058,0.032843193,3.1030268263805e-33,"7/20/24","142700","36","14H 27M 0S",30.88,767.2,160,27.8,"35-20",NA,"35-20",NA,NA,NA,NA,NA,NA,NA,8.97808298e-07,3.2843193e-08,5.81282906698515e-09,2.12642127888868e-10,2.09019383926111e-10,7.64624695752853e-12
118,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T143200_85",-38.77048032,0.010250049,1.33028859227718e-12,1771.479839,0.003703609,1.37928274754232e-21,"7/20/24","143200","85","14H 32M 0S",30.88,767.2,160,27.8,"BLANK",NA,"BLANK",NA,NA,NA,NA,NA,NA,NA,1.0250049e-08,3.703609e-09,6.6363591089489e-11,2.39788895869036e-11,2.38632114669144e-12,8.6223982692929e-13
119,"20-July-2024 (Day 5)/TG10-01136-2024-07-20T143800_84",66.67051214,0.008154814,2.07006886159272e-09,1814.367169,0.003022097,2.23715069386717e-14,"7/20/24","143800","84","14H 38M 0S",30.88,767.2,160,27.8,"BLANK",NA,"BLANK",NA,NA,NA,NA,NA,NA,NA,8.154814e-09,3.022097e-09,5.27980638635816e-11,1.95664634911278e-11,1.89852800660128e-12,7.03576536897801e-13
120,"22-july-2024 (Day 7)/TG10-01136-2024-07-22T113700_01",-8999.111197,0.227294662,1.64104231557894e-127,1810.336912,0.003045195,2.15754072601394e-15,"7/22/24","113700","01","11H 37M 0S",29.33,766.4,160,27.8,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,2.27294662e-07,3.045195e-09,1.47761009889594e-09,1.97963772906705e-11,5.31323300573872e-11,7.11843843605554e-13
121,"22-july-2024 (Day 7)/TG10-01136-2024-07-22T115200_02",-11470.88925,0.280651045,5.01797516490398e-152,2303.760451,-0.008567813,6.97651853818722e-59,"7/22/24","115200","02","11H 52M 0S",29.33,766.4,160,27.8,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,2.80651045e-07,-8.567813e-09,1.82447231584215e-09,-5.56981272804898e-11,6.56049016843635e-11,-2.00280932328263e-12
122,"22-july-2024 (Day 7)/TG10-01136-2024-07-22T132100_03",-28639.92919,0.608723496,7.35209083000092e-150,2013.909008,-0.001671992,5.64423224469069e-09,"7/22/24","132100","03","13H 21M 0S",29.33,766.4,160,27.8,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,6.08723496e-07,-1.671992e-09,3.9572244117411e-09,-1.08693809292944e-11,1.4229501660342e-10,-3.90844334027127e-13
123,"22-july-2024 (Day 7)/TG10-01136-2024-07-22T132500_04",-16633.53771,0.355037344,2.48593680298732e-142,2305.537457,-0.007723522,1.9567957774884e-54,"7/22/24","132500","04","13H 25M 0S",29.33,766.4,160,27.8,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,3.55037344e-07,-7.723522e-09,2.30804700983075e-09,-5.02095122068681e-11,8.29934199867225e-11,-1.80544811962848e-12
124,"22-july-2024 (Day 7)/TG10-01136-2024-07-22T133600_05",-19162.95621,0.401446056,1.47094803542457e-157,2710.97876,-0.015820283,1.15987535783826e-84,"7/22/24","133600","05","13H 36M 0S",29.33,766.4,160,27.8,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,4.01446056e-07,-1.5820283e-08,2.60974341098932e-09,-1.02845397786736e-10,9.38419061844416e-11,-3.69814447273413e-12
125,"22-july-2024 (Day 7)/TG10-01136-2024-07-22T134100_06",-19160.28263,0.398696412,1.72375117561029e-150,2701.497507,-0.015568384,4.85758817447926e-87,"7/22/24","134100","06","13H 41M 0S",29.33,766.4,160,27.8,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,3.98696412e-07,-1.5568384e-08,2.59186836849154e-09,-1.01207838404449e-10,9.31991502514038e-11,-3.63926064021753e-12
126,"22-july-2024 (Day 7)/TG10-01136-2024-07-22T134800_19",-42144.92967,0.858519101,7.01523135266548e-154,-2056.470221,0.080255072,2.99330781328668e-148,"7/22/24","134800","19","13H 48M 0S",29.33,766.4,160,27.8,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,8.58519101e-07,8.0255072e-08,5.58110992387786e-09,5.21726748139913e-10,2.00687160153824e-10,1.876040086803e-11
127,"22-july-2024 (Day 7)/TG10-01136-2024-07-22T135300_20",-43410.94795,0.878942568,4.0452329951333e-136,-6203.773981,0.162659267,2.5904238471564e-113,"7/22/24","135300","20","13H 53M 0S",29.33,766.4,160,27.8,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,8.78942568e-07,1.62659267e-07,5.71387996268179e-09,1.05742463761956e-09,2.05461343498087e-10,3.80231800654284e-11
128,"22-july-2024 (Day 7)/TG10-01136-2024-07-22T135700_21",-79059.59889,1.585677286,1.75347354799485e-164,-38.26916034,0.039280288,5.04893055627072e-133,"7/22/24","135700","21","13H 57M 0S",29.33,766.4,160,27.8,"35-90",NA,"35-90",NA,NA,NA,NA,NA,NA,NA,1.585677286e-06,3.9280288e-08,1.03082613149248e-08,2.55355535962129e-10,3.70667433114879e-10,9.18214800295322e-12
