Model,Intercept_CO2,TIME_CO2,TIME_CO2_pvalue,TIME_CO2_r2,Date,TimeLog,JarID,Time,T.Air,A.Pressure,Volume,Label,STAGE_1,STAGE_2,STAGE_3,one_hour,two_min,four_hour,eight_hour,PRE_WET,twenty_four_hour,finalC02_flux,finalC02_flux_byarea,Original dried down (14%) soil wt (g),dry_soil,finalC02flux_gSoil,finalC02flux_gSoil_hr,treatment,Date_corr,Hours
20-July-2024 (Day 5)/TG10-01136-2024-07-20T102800_01,462.942128708847,0.302778214334102,2.3362059742173898e-129,0.99249948687976,2024-07-20,102800,1,10H 28M 0S,30.88,767.2,160,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.00211969810926387,7.62207159030519e-5,74.469,63.574,3.33422170897517e-5,0.120031981523106,90-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T103400_02,447.109245928075,0.682831782989283,2.9250359023114e-131,0.993027531897537,2024-07-20,103400,2,10H 34M 0S,30.88,767.2,160,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.00478038765943222,1.7189455805221e-4,73.443,62.698,7.62446594697154e-5,0.274480774090976,90-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T104000_03,455.733840318418,0.347821744029662,5.520409756102139e-156,0.997300194441006,2024-07-20,104000,3,10H 40M 0S,30.88,767.2,160,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.00243504009957265,8.75598741306237e-5,73.713,62.929,3.86950388465198e-5,0.139302139847471,90-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T104600_04,481.69339614237,0.479204007653137,1.7994881361034198e-150,0.996664073213801,2024-07-20,104600,4,10H 46M 0S,30.88,767.2,160,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.00335482468977498,1.2063375367763e-4,73.815,63.016,5.32376648751901e-5,0.191655593550684,90-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T105600_05,482.403215206479,0.459877857121616,5.1898277177247195e-155,0.997197460036087,2024-07-20,105600,5,10H 56M 0S,30.88,767.2,160,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.00321952563983802,1.1576863142171e-4,73.879,63.071,5.1046053492699e-5,0.183765792573716,90-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T110100_06,482.03453175424,0.472620538561435,1.0090859865797599e-150,0.99669607932727,2024-07-20,110100,6,11H 1M 0S,30.88,767.2,160,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.00330873495700881,1.1897644577521e-4,74.342,63.466,5.21339765702708e-5,0.187682315652975,90-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T110800_07,512.535684935943,1.12889576070398,8.0077587343811305e-115,0.986898505766578,2024-07-20,110800,7,11H 8M 0S,30.88,767.2,160,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.00790320470970135,2.8418571412086e-4,73.378,62.643,1.2616261529143e-4,0.454185415049165,50-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T111300_08,522.15232320295,1.47142367185357,4.5598622938231e-116,0.987509484043721,2024-07-20,111300,8,11H 13M 0S,30.88,767.2,160,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.0103011835974186,3.7041293050767e-4,73.755,62.965,1.6360174060856e-4,0.588966266190849,50-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T112300_09,454.375460222523,0.941479821294621,2.92980035178259e-129,0.992471132484175,2024-07-20,112300,9,11H 23M 0S,30.88,767.2,160,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.00659113801003592,2.3700604135332e-4,72.528,61.917,1.064511848125e-4,0.383224265325021,50-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T112900_10,533.604202441338,1.14006410989323,2.03792326442032e-121,0.98982753997924,2024-07-20,112900,10,11H 29M 0S,30.88,767.2,160,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.00798139239804648,2.8699720956657e-4,72.996,62.317,1.2807728866996e-4,0.46107823921189,50-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T113300_11,480.212939287095,1.06882087826027,1.0020626662335e-115,0.987344513745177,2024-07-20,113300,11,11H 33M 0S,30.88,767.2,160,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.00748263080873474,2.690625965025e-4,72.345,61.761,1.2115462522845e-4,0.436156650822446,50-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T113900_12,537.65910387911,1.28342675491787,1.3540735071565597e-109,0.98398799047963,2024-07-20,113900,12,11H 39M 0S,30.88,767.2,160,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.00898504957419476,3.2308700374666e-4,72.647,62.019,1.4487575701308e-4,0.52155272524712,50-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T114500_13,511.784281008258,0.353449083176646,1.80395785141125e-83,0.956373106077139,2024-07-20,114500,13,11H 45M 0S,30.88,767.2,160,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.00247443613133894,8.8976488002119193e-05,71.429,60.979,4.05784963895593e-5,0.146082587002413,20-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T114900_14,499.40595295766,0.305732411167763,2.11132655762447e-90,0.966560164091601,2024-07-20,114900,14,11H 49M 0S,30.88,767.2,160,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.00214037993228234,7.69643988594874e-5,72.378,61.789,3.46401452084084e-5,0.12470452275027,20-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T115400_15,511.073724827425,0.340777388218265,1.3375557046572599e-80,0.951295384830523,2024-07-20,115400,15,11H 54M 0S,30.88,767.2,160,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.00238572377829359,8.57865436279607e-5,72.034,61.495,3.87954106560466e-5,0.139663478361768,20-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T115800_16,490.548487512397,0.350549319943097,2.8359009998696595e-84,0.958809449349752,2024-07-20,115800,16,11H 58M 0S,30.88,767.2,160,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.00245413538857584,8.82465080394046e-5,72.361,61.775,3.97269994103738e-5,0.143017197877346,20-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T120400_17,502.873801205799,0.515887420403739,1.8592460425513998e-78,0.948415733310268,2024-07-20,120400,17,12H 4M 0S,30.88,767.2,160,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.00361163894181689,1.2986835461405e-4,72.218,61.653,5.8580100592297e-5,0.210888362132269,20-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T120900_18,515.607628159754,0.477286777265745,3.93523982037708e-81,0.948593528201684,2024-07-20,120900,18,12H 9M 0S,30.88,767.2,160,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.00334140249017546,1.2015111435366e-4,72.434,61.837,5.40356500182004e-5,0.194528340065522,20-25,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T123800_19,502.720635851445,1.0431648200224,6.84017187270332e-186,0.999143177910562,2024-07-20,123800,19,12H 38M 0S,30.88,767.2,160,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.00730301716560138,2.6260399732475e-4,73.178,62.472,1.1690064613909e-4,0.420842326100733,90-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T124400_20,481.222746186154,0.886797073567267,1.5385873286514e-138,0.994954502493788,2024-07-20,124400,20,12H 44M 0S,30.88,767.2,160,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.00620831351514302,2.2324032776494e-4,73.16,62.457,9.94014044085213e-5,0.357845055870677,90-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T125000_21,500.036073289693,1.67907770775987,3.1570978359138697e-218,0.999752278800502,2024-07-20,125000,21,12H 50M 0S,30.88,767.2,160,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.0117549337235947,4.2268729678513e-4,73.335,62.606,1.8776049777329e-4,0.67593779198385,90-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T125500_22,485.282281885923,1.03981643408752,3.09237300725709e-134,0.994040320882066,2024-07-20,125500,22,12H 55M 0S,30.88,767.2,160,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.00727957569260484,2.6176108207856e-4,67.02,57.215,1.2723194429091e-4,0.458034999447303,90-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T130100_23,375.98008808047,2.00729841286626,8.563842997701409e-141,0.995163812351312,2024-07-20,130100,23,13H 1M 0S,30.88,767.2,160,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.0140527503269635,5.05312848866e-4,73.203,62.493,2.2486919058076e-4,0.809529086090742,90-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T130700_24,469.164138219092,0.901658361448811,4.51283424246173e-158,0.997508039254698,2024-07-20,130700,24,13H 7M 0S,30.88,767.2,160,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.00631235483097222,2.2698147540353e-4,72.877,62.215,1.0146033642967e-4,0.365257211146829,90-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T131300_25,306.556542695319,3.41312985219135,9.825748977947489e-92,0.968226350305465,2024-07-20,131300,25,13H 13M 0S,30.88,767.2,160,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.0238947340061225,8.5921373628631e-4,72.928,62.259,3.8379566016355e-4,1.38166437658878,50-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T132200_26,494.084305134806,2.06226234927517,9.235429879133469e-109,0.984028688187611,2024-07-20,132200,26,13H 22M 0S,30.88,767.2,160,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.0144375433753666,5.191493482692e-4,72.772,62.125,2.3239506439221e-4,0.836622231811989,50-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T133000_27,656.419110593778,4.00837181160594,1.27774844823416e-96,0.973657620541292,2024-07-20,133000,27,13H 30M 0S,30.88,767.2,160,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.0280619204026092,0.00100905862648721,72.61,61.987,4.5270654173632e-4,1.62974355025075,50-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T133800_28,762.448914070735,2.9167946276035,6.97989644811447e-102,0.978474035450433,2024-07-20,133800,28,13H 38M 0S,30.88,767.2,160,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.0204199766183304,7.3426740806653e-4,72.627,62.002,3.2934383759121e-4,1.18563781532837,50-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T134300_29,598.347455024602,2.30133508249593,1.0785417334207799e-113,0.986318275643048,2024-07-20,134300,29,13H 43M 0S,30.88,767.2,160,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.0161112503879372,5.793329877e-4,72.817,62.164,2.5917332198599e-4,0.933023959149573,50-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T134800_30,515.947823574702,2.32757652971869,1.6305446660302e-103,0.979780266363487,2024-07-20,134800,30,13H 48M 0S,30.88,767.2,160,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.0162949622384902,5.8593895140202e-4,73.503,62.75,2.5968067312335e-4,0.93485042324406,50-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T135500_31,652.650380337122,0.590335898698369,1.29838618804912e-83,0.956611483096377,2024-07-20,135500,31,13H 55M 0S,30.88,767.2,160,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.00413283991073656,1.4860984936125e-4,71.34,60.903,6.78593814875549e-5,0.244293773355198,20-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T135900_32,534.536652542289,0.761674649148604,5.87297030011824e-77,0.943991775779449,2024-07-20,135900,32,13H 59M 0S,30.88,767.2,160,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.00533235298063081,1.9174228625065e-4,72.029,61.491,8.67176168972827e-5,0.312183420830218,20-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T140700_33,565.445411052556,0.576108132744624,2.14553084674868e-88,0.966838083879245,2024-07-20,140700,33,14H 7M 0S,30.88,767.2,160,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.00403323377276679,1.4502818312717e-4,73.469,62.72,6.43053854076337e-5,0.231499387467481,20-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T141100_34,749.853918696984,0.390577729238882,1.6632744068656799e-78,0.94722044612282,2024-07-20,141100,34,14H 11M 0S,30.88,767.2,160,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.00273436738508101,9.83231709845744e-5,70.889,60.518,4.51827123348593e-5,0.162657764405493,20-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T142100_35,521.290586092836,0.497440174343484,4.0180593601101295e-92,0.968696251850514,2024-07-20,142100,35,14H 21M 0S,30.88,767.2,160,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.00348249295064628,1.2522448581971e-4,71.223,60.803,5.7275018513005497e-05,0.20619006664682,20-35,2024-07-20,120
20-July-2024 (Day 5)/TG10-01136-2024-07-20T142700_36,545.306372591459,0.897808298168337,1.3018063986367799e-70,0.928557826083998,2024-07-20,142700,36,14H 27M 0S,30.88,767.2,160,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.00628540120131919,2.2601226901543e-4,68.1,58.137,1.0811361441627e-4,0.389209011898603,20-35,2024-07-20,120
22-july-2024 (Day 7)/TG10-01136-2024-07-22T113700_01,506.351580865175,0.227294662300368,1.64104231557157e-127,0.991948703691095,2024-07-22,113700,1,11H 37M 0S,29.33,766.4,160,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.00159773703891669,5.74518892095179e-5,74.469,63.574,2.51319256129344e-5,0.0904749322065639,90-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T115200_02,518.523406065673,0.280651045366977,5.0179751648007195e-152,0.996857271534674,2024-07-22,115200,2,11H 52M 0S,29.33,766.4,160,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.0019727985059365,7.09384576028947e-5,73.443,62.698,3.14650946750534e-5,0.113274340830192,90-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T132100_03,615.322017060944,0.608723495725677,7.352090830071969e-150,0.996584896063266,2024-07-22,132100,3,13H 21M 0S,29.33,766.4,160,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.00427893935447768,1.5386333529225e-4,73.713,62.929,6.79963030475247e-5,0.244786690971089,90-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T132500_04,514.765991910674,0.355037343740189,2.48593680275542e-142,0.995440843599913,2024-07-22,132500,4,13H 25M 0S,29.33,766.4,160,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.00249568691385578,8.97406297682768e-5,73.815,63.016,3.96040198339434e-5,0.142574471402196,90-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T133600_05,491.842709141137,0.401446056288228,1.4709480354998196e-157,0.997458480268583,2024-07-22,133600,5,13H 36M 0S,29.33,766.4,160,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.00282191067210864,1.0147107774572e-4,73.879,63.071,4.47418095814025e-5,0.161070514493049,90-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T134100_06,479.502643233616,0.398696412344153,1.72375117573287e-150,0.996666463007304,2024-07-22,134100,6,13H 41M 0S,29.33,766.4,160,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.00280258242247523,1.0077606697142e-4,74.342,63.466,4.41588003415251e-5,0.15897168122948999,90-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T134800_19,506.299287048817,0.858519101450327,7.015231351388988e-154,0.99707315636236,2024-07-22,134800,19,13H 48M 0S,29.33,766.4,160,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.00603484372717908,2.1700265110316e-4,73.178,62.472,9.6600776782864e-5,0.34776279641831,90-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T135300_20,518.601624223038,0.878942568427175,4.04523299536993e-136,0.994213654998926,2024-07-22,135300,20,13H 53M 0S,29.33,766.4,160,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.00617840772169506,2.2216496661974e-4,73.16,62.457,9.89225822837321e-5,0.356121296221436,90-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T135700_21,573.11441923396,1.58567728611035,1.7534735480472797e-164,0.998051499000432,2024-07-22,135700,21,13H 57M 0S,29.33,766.4,160,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.0111463036841552,4.0080200230691e-4,73.335,62.606,1.7803890496366e-4,0.640940057869193,90-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T140300_22,586.070691630786,1.11122436645177,1.4562964672063196e-147,0.996270217985026,2024-07-22,140300,22,14H 3M 0S,29.33,766.4,160,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.00781120115561923,2.8087742379069e-4,67.02,57.215,1.3652365910371e-4,0.491485172773385,90-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T140900_07,578.363585534382,1.01977955264175,2.4000706821468698e-114,0.986656640863199,2024-07-22,140900,7,14H 9M 0S,29.33,766.4,160,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.00716840222421264,2.577634744413e-4,73.378,62.643,1.144326137671e-4,0.411957409561571,50-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T143100_08,572.964025130444,1.38193572157914,1.41579614927883e-112,0.98571847006793,2024-07-22,143100,8,14H 31M 0S,29.33,766.4,160,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.00971412995546386,3.4930348635253e-4,73.755,62.965,1.5427824911401e-4,0.555401696810449,50-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T143600_09,602.00977414654,1.09855965051996,1.87403305488307e-119,0.989031439923688,2024-07-22,143600,9,14H 36M 0S,29.33,766.4,160,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.00772217625056066,2.7767624058111e-4,72.528,61.917,1.2471819129739e-4,0.448985488670614,50-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T144000_10,569.888240763198,1.23098446902231,2.94758875776112e-116,0.987599973193335,2024-07-22,144000,10,14H 40M 0S,29.33,766.4,160,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.00865303857373053,3.1114845644482e-4,72.996,62.317,1.3885518516184e-4,0.499878666582632,50-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T144500_23,513.079723614686,1.38301002574177,3.6765590995065193e-146,0.996064022779773,2024-07-22,144500,23,14H 45M 0S,29.33,766.4,160,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.00972168163104802,3.4957503168097e-4,73.203,62.493,1.5556432930165e-4,0.56003158548594,90-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T145000_24,600.266667475159,0.923254106621814,2.6253483711262394e-157,0.997433823297003,2024-07-22,145000,24,14H 50M 0S,29.33,766.4,160,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.00648988967691752,2.333653245925e-4,72.877,62.215,1.0431390624314e-4,0.375530062475336,90-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T145500_25,680.704702945268,2.4841500292445,1.1841909715657398e-98,0.975634322527549,2024-07-22,145500,25,14H 55M 0S,29.33,766.4,160,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.0174619961233621,6.2790349238986e-4,72.928,62.259,2.804734435722e-4,1.00970439685995,50-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T145900_26,589.678524388592,1.23886988345158,2.58033843063647e-110,0.984424285031236,2024-07-22,145900,26,14H 59M 0S,29.33,766.4,160,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.00870846802628934,3.1314160468498e-4,72.772,62.125,1.4017654770687e-4,0.504635571744735,50-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T150400_11,599.690063105337,0.930540326018352,3.67944207853301e-114,0.986561293670224,2024-07-22,150400,11,15H 4M 0S,29.33,766.4,160,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.00654110716916173,2.35207017949e-4,72.345,61.761,1.0590999448133e-4,0.381275980132806,50-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T150800_12,591.613542126951,1.230880976535,4.88546051398561e-110,0.984257711417277,2024-07-22,150800,12,15H 8M 0S,29.33,766.4,160,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.00865231108731029,3.1112229727832e-4,72.647,62.019,1.395106513699e-4,0.502238344931667,50-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T151300_13,595.140790962953,0.426145918492108,5.1799991521873995e-83,0.955599642095251,2024-07-22,151300,13,15H 13M 0S,29.33,766.4,160,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.00299553500758522,1.0771431167152e-4,71.429,60.979,4.91240428276164e-5,0.176846554179419,20-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T151700_14,569.889730266571,0.423143608672234,7.15147109083258e-85,0.958657291063882,2024-07-22,151700,14,15H 17M 0S,29.33,766.4,160,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.00297443067740444,1.069554360807e-4,72.378,61.789,4.8138514580337e-5,0.173298652489213,20-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T152200_15,578.810772272909,0.370072304962312,8.427899802619041e-85,0.958544014620955,2024-07-22,152200,15,15H 22M 0S,29.33,766.4,160,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.00260137313710513,9.35409254622484e-5,72.034,61.495,4.23021893992215e-5,0.152287881837197,20-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T152600_16,524.380553312559,0.438405351908823,7.27158976410894e-83,0.955348039806474,2024-07-22,152600,16,15H 26M 0S,29.33,766.4,160,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.0030817110341042,1.1081305408501e-4,72.361,61.775,4.98860547811283e-5,0.179589797212062,20-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T153100_17,590.922329759005,0.426535531242049,6.1044954511481295e-87,0.961811594776166,2024-07-22,153100,17,15H 31M 0S,29.33,766.4,160,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.00299827373763332,1.078127917164e-4,72.218,61.653,4.86314329819039e-5,0.175073158734854,20-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T153600_18,584.292667703167,0.417372346928996,1.96687144677484e-83,0.956310217119237,2024-07-22,153600,18,15H 36M 0S,29.33,766.4,160,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.00293386237476534,1.054966693551e-4,72.434,61.837,4.74450955700525e-5,0.170802344052189,20-25,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T154000_27,710.503616027969,1.6940892601637,2.7046649027623793e-107,0.98251032745354006,2024-07-22,154000,27,15H 40M 0S,29.33,766.4,160,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.0119083709700918,4.2820463754375e-4,72.61,61.987,1.9211078081036e-4,0.691598810917296,50-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T154400_28,568.863930913585,2.5233531843461,9.07938715892149e-103,0.979193356387104,2024-07-22,154400,28,15H 44M 0S,29.33,766.4,160,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.0177375693916223,6.3781263544129e-4,72.627,62.002,2.8608060049066e-4,1.0298901617664,50-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T154800_29,579.062193886082,2.05588356723426,2.39864615017929e-106,0.981862522924117,2024-07-22,154800,29,15H 48M 0S,29.33,766.4,160,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.0144515550423686,5.1965318383202e-4,72.817,62.164,2.3247466447411e-4,0.836908792106797,50-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T155200_30,670.796800701207,2.48172200871717,1.5468466548352998e-104,0.980558482305959,2024-07-22,155200,30,15H 52M 0S,29.33,766.4,160,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.017444928681969,6.2728977641025e-4,73.503,62.75,2.7800683158516e-4,1.00082459370659,50-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T160600_31,600.236206036594,0.99961822874156,2.12644880875641e-69,0.925155466520581,2024-07-22,160600,31,16H 6M 0S,29.33,766.4,160,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.00702668092894367,2.5266741923565e-4,71.34,60.903,1.1537495573196e-4,0.415349840635062,20-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T161000_32,605.811456240644,0.93588132680812,2.36633239842619e-69,0.925022103274722,2024-07-22,161000,32,16H 10M 0S,29.33,766.4,160,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.0065786510107122996,2.3655703023057e-4,72.029,61.491,1.0698559156156e-4,0.38514812962164,20-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T161400_33,596.750930312173,0.820642447153369,2.8030853712311303e-74,0.937930934639021,2024-07-22,161400,33,16H 14M 0S,29.33,766.4,160,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.00576859491663499,2.0742879959133e-4,73.469,62.72,9.19737709922671e-5,0.331105575572161,20-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T161800_36,557.974779760823,0.720537071121965,7.06116042171974e-68,0.920659222534073,2024-07-22,161800,36,16H 18M 0S,29.33,766.4,160,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.00506491773626771,1.8212577260941e-4,68.1,58.137,8.71203835125257e-5,0.313633380645092,20-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T162300_34,569.43574846425,0.63699337785547006,1.01204425989146e-72,0.934109913723396,2024-07-22,162300,34,16H 23M 0S,29.33,766.4,160,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.00447765866142247,1.6100894143914e-4,70.889,60.518,7.39888737470252e-5,0.266359945489291,20-35,2024-07-22,168
22-july-2024 (Day 7)/TG10-01136-2024-07-22T162800_35,579.298493934658,0.594371035057051,3.0912820269900997e-79,0.948679513097122,2024-07-22,162800,35,16H 28M 0S,29.33,766.4,160,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.00417805067641645,1.502355511117e-4,71.223,60.803,6.87145482363773e-5,0.247372373650958,20-35,2024-07-22,168
