Model,Intercept_CO2,TIME_CO2,TIME_CO2_pvalue,TIME_CO2_r2,Intercept_CH4,TIME_CH4,TIME_CH4_pvalue,TIME_CH4_r2,Date,TimeLog,JarID,Time,T.Air,A.Pressure,Volume,Soil_jar,Area,Label,STAGE_1,STAGE_2,STAGE_3,one_hour,two_min,four_hour,eight_hour,PRE_WET,twenty_four_hour,finalC02_flux,finalCH4_flux,finalC02_flux_byarea,finalCH4_flux_byarea,finalC02flux_gSoil,finalCH4flux_gSoil,finalC02flux_gSoil_hr,finalCH4flux_gSoil_hr
17-July-2024 (Day 2)/TG10-01136-2024-07-17T111800_21,-13611.11972,0.349671,1.98241648325513e-152,0.997052408,1763.210283,0.005254505,2.2155654882358e-31,0.681921936,7/17/2024,111800,21,11H 18M 0S,30.69,766.5,160,62.606,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.002447282,3.67753013443162e-05,8.800008116765e-05,1.32237689120159e-06,3.90902149953678e-05,5.87408576563208e-07,0.140724774,0.002114671
17-July-2024 (Day 2)/TG10-01136-2024-07-17T112500_22,-44083.2508,1.088011652,2.30405455770919e-146,0.996272631,1961.797245,0.00030294,0.367043652,0.006842639,7/17/2024,112500,22,11H 25M 0S,30.69,766.5,160,57.215,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.007614791,2.12022055271049e-06,0.000273815,7.62395020751705e-08,0.000133091,3.70570751151008e-08,0.479126935,0.000133405
17-July-2024 (Day 2)/TG10-01136-2024-07-17T112900_23,-58293.34031,1.422935402,8.71640640023671e-155,0.99730935,408.18849,0.037697128,3.07406974097897e-125,0.991558277,7/17/2024,112900,23,11H 29M 0S,30.69,766.5,160,62.493,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00995886,0.000263835,0.000358104,9.48706156356537e-06,0.00015936,4.22183284527867e-06,0.57369459,0.015198598
17-July-2024 (Day 2)/TG10-01136-2024-07-17T113500_24,-31507.98642,0.769745908,4.71095654475929e-138,0.994858717,1562.038153,0.009722599,1.09799162483871e-50,0.849039052,7/17/2024,113500,24,11H 35M 0S,30.69,766.5,160,62.215,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.005387308,6.8046658056232e-05,0.000193718,2.44684135405365e-06,8.65917865466527e-05,1.09373395573788e-06,0.311730432,0.003937442
17-July-2024 (Day 2)/TG10-01136-2024-07-17T114000_25,-70641.37597,1.69548047,1.59924138033312e-107,0.983244703,194.7109049,0.042225782,3.20974177493904e-52,0.857728673,7/17/2024,114000,25,11H 40M 0S,30.69,766.5,160,62.259,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.011866352,0.00029553,0.000426694,1.06267671075559e-05,0.000190597,4.74678359755216e-06,0.686147661,0.017088421
17-July-2024 (Day 2)/TG10-01136-2024-07-17T114600_26,-56807.70384,1.356284474,1.1974738011702e-123,0.991022382,-713.4740875,0.063312559,3.48876329741851e-72,0.934249737,7/17/2024,114600,26,11H 46M 0S,30.69,766.5,160,62.125,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.009492383,0.000443113,0.00034133,1.59335785844014e-05,0.000152795,7.13260362173038e-06,0.550061631,0.025677373
17-July-2024 (Day 2)/TG10-01136-2024-07-17T115100_27,-53232.77509,1.26268969,1.94443347200281e-121,0.990220652,-446.9963196,0.056609809,1.84845299299921e-68,0.924063822,7/17/2024,115100,27,11H 51M 0S,30.69,766.5,160,61.987,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.00883733,0.000396202,0.000317775,1.42467284564201e-05,0.000142567,6.39169503282946e-06,0.513242906,0.023010102
17-July-2024 (Day 2)/TG10-01136-2024-07-17T115500_28,-74536.5424,1.752152445,4.86861663772568e-115,0.987473214,-73.49531568,0.047570112,9.99051095357694e-63,0.905218381,7/17/2024,115500,28,11H 55M 0S,30.69,766.5,160,62.002,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.012262989,0.000332934,0.000440956,1.19717498976301e-05,0.000197784,5.3697300087094e-06,0.712021554,0.019331028
17-July-2024 (Day 2)/TG10-01136-2024-07-17T115900_29,-71407.96935,1.66944452,3.21421149132872e-125,0.991551951,-875.2972772,0.065910988,3.29307637334098e-73,0.936805508,7/17/2024,115900,29,11H 59M 0S,30.69,766.5,160,62.164,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.011684132,0.000461299,0.000420141,1.65875130254995e-05,0.000187957,7.42067756257641e-06,0.676643639,0.026714439
17-July-2024 (Day 2)/TG10-01136-2024-07-17T120600_30,-45834.87972,1.066859382,4.50491706844757e-120,0.989690268,-603.0241045,0.05926365,3.9992521651785e-62,0.902984866,7/17/2024,120600,30,12H 6M 0S,30.69,766.5,160,62.75,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.00746675,0.000414775,0.000268492,1.49146083162807e-05,0.000118992,6.60996015936255e-06,0.428371315,0.023795857
17-July-2024 (Day 2)/TG10-01136-2024-07-17T121200_31,-17980.1917,0.423297683,1.02715960642188e-97,0.975511652,1934.589582,0.000827395,0.009935374,0.054542704,7/17/2024,121200,31,12H 12M 0S,30.69,766.5,160,60.903,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.002962582,5.79078126806407e-06,0.000106529,2.08226582814242e-07,4.8644270397189e-05,9.50820364852974e-08,0.175119373,0.000342295
17-July-2024 (Day 2)/TG10-01136-2024-07-17T121700_32,-29415.03311,0.681677252,4.41461073240398e-74,0.938903003,1036.047106,0.021526961,3.89282526145787e-30,0.666288026,7/17/2024,121700,32,12H 17M 0S,30.69,766.5,160,61.491,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.004770932,0.000150663,0.000171555,5.41759061022598e-06,7.75874843473029e-05,2.45016343855198e-06,0.279314944,0.008820588
17-July-2024 (Day 2)/TG10-01136-2024-07-17T122300_33,-29791.50237,0.684487285,3.48716442840518e-76,0.943674734,1461.883223,0.011720431,3.71130170484307e-34,0.714212077,7/17/2024,122300,33,12H 23M 0S,30.69,766.5,160,62.72,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.004790599,8.20291143487803e-05,0.000172262,2.94962654975837e-06,7.63807238520408e-05,1.3078621547956e-06,0.274970606,0.004708304
17-July-2024 (Day 2)/TG10-01136-2024-07-17T122800_34,-32793.35957,0.744769462,2.11994219044356e-73,0.937271304,820.9434132,0.025644628,6.40616864468139e-37,0.743108567,7/17/2024,122800,34,12H 28M 0S,30.69,766.5,160,60.518,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.005212503,0.000179482,0.000187433,6.45386479037585e-06,8.61314484946627e-05,2.96576225255296e-06,0.310073215,0.010676744
17-July-2024 (Day 2)/TG10-01136-2024-07-17T123400_35,-36243.41361,0.815470458,4.36152341506894e-72,0.934002689,682.4380164,0.028481303,1.09477208896006e-33,0.708986297,7/17/2024,123400,35,12H 34M 0S,30.69,766.5,160,60.803,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.005707326,0.000199335,0.000205226,7.16775771286979e-06,9.38658618818151e-05,3.27837442231469e-06,0.337917103,0.011802148
17-July-2024 (Day 2)/TG10-01136-2024-07-17T123900_36,-29141.19856,0.653738254,2.16089716773412e-72,0.934776652,1126.405559,0.018467145,7.54475424692959e-32,0.687607603,7/17/2024,123900,36,12H 39M 0S,30.69,766.5,160,58.137,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.004575392,0.000129248,0.000164523,4.64754095252731e-06,7.87001737275745e-05,2.2231625298863e-06,0.283320625,0.008003385
17-July-2024 (Day 2)/TG10-01136-2024-07-17T124500_82,-1003.879121,0.034675152,4.17975740799146e-42,0.789711028,1776.735829,0.003967281,2.28145160408778e-21,0.532334572,7/17/2024,124500,82,12H 45M 0S,30.69,766.5,160,NA,27.8,BLANK,BLANK,NA,NA,NA,NA,NA,NA,NA,NA,0.000242685,2.77662604358837e-05,8.72653502435008e-06,9.98427200139651e-07,NA,NA,NA,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T125000_83,-344.7549194,0.02047923,2.08976882168756e-38,0.757431398,1802.170319,0.003466603,8.22735364617178e-22,0.540227677,7/17/2024,125000,83,12H 50M 0S,30.69,766.5,160,NA,27.8,BLANK,BLANK,NA,NA,NA,NA,NA,NA,NA,NA,0.00014333,2.42621123802049e-05,5.15391308723922e-06,8.72424033808159e-07,NA,NA,NA,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T125600_84,-453.4055442,0.021875749,3.51098303771798e-23,0.563813841,1784.367354,0.00368656,2.73612846030639e-17,0.453085561,7/17/2024,125600,84,12H 56M 0S,30.69,766.5,160,NA,27.8,BLANK,BLANK,NA,NA,NA,NA,NA,NA,NA,NA,0.000153104,2.58015480096088e-05,5.5053683267467e-06,9.27779504121137e-07,NA,NA,NA,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T130400_85,-298.0435823,0.018177036,2.31159620190671e-18,0.475132724,1819.056479,0.00286804,2.35202656000667e-12,0.339552809,7/17/2024,130400,85,13H 4M 0S,30.69,766.5,160,NA,27.8,BLANK,BLANK,NA,NA,NA,NA,NA,NA,NA,NA,0.000127218,2.0072875170076e-05,4.5745303774849e-06,7.21786234091192e-07,NA,NA,NA,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T102800_01,-10945.74099,0.302778214,2.33620597411473e-129,0.992499487,1983.033847,0.000387878,0.233205897,0.011822299,7/20/2024,102800,1,10H 28M 0S,30.88,767.2,160,63.574,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.002119698,2.7154663925401e-06,7.6220715903051e-05,9.76435236440164e-08,3.33422153710636e-05,4.27134739443814e-08,0.120031975,0.000153769
20-July-2024 (Day 5)/TG10-01136-2024-07-20T103400_02,-25527.81178,0.682831783,2.92503590215326e-131,0.993027532,-171.9180112,0.055866083,1.33946298120788e-111,0.985173513,7/20/2024,103400,2,10H 34M 0S,30.88,767.2,160,62.698,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.004780388,0.000391109,0.000171895,1.40636038646919e-05,7.62446649015918e-05,6.23798207279339e-06,0.274480794,0.022456735
20-July-2024 (Day 5)/TG10-01136-2024-07-20T104000_03,-12900.62113,0.347821744,5.52040975619691e-156,0.997300194,1213.472757,0.019283725,1.25216112276403e-98,0.975611652,7/20/2024,104000,3,10H 40M 0S,30.88,767.2,160,62.929,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.00243504,0.000135002,8.75598741306242e-05,4.85444202759463e-06,3.86950372642184e-05,2.14530661539195e-06,0.139302134,0.007723104
20-July-2024 (Day 5)/TG10-01136-2024-07-20T104600_04,-18092.25394,0.479204008,1.79948813637378e-150,0.996664073,1274.607518,0.017552087,1.76831684562902e-77,0.945100589,7/20/2024,104600,4,10H 46M 0S,30.88,767.2,160,63.016,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.003354825,0.000122879,0.000120634,4.41852333875399e-06,5.32376697981465e-05,1.94996508823156e-06,0.191655611,0.007019874
20-July-2024 (Day 5)/TG10-01136-2024-07-20T105600_05,-17618.38924,0.459877857,5.18982771843866e-155,0.99719746,1907.44567,0.001231012,0.000692462,0.091816349,7/20/2024,105600,5,10H 56M 0S,30.88,767.2,160,63.071,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.003219526,8.61810099871678e-06,0.000115769,3.0989216104699e-07,5.10460592031203e-05,1.36641261415179e-07,0.183765813,0.000491909
20-July-2024 (Day 5)/TG10-01136-2024-07-20T110100_06,-18262.09603,0.472620539,1.0090859865193e-150,0.996696079,1902.716929,0.001427826,1.24552939011219e-05,0.147649169,7/20/2024,110100,6,11H 1M 0S,30.88,767.2,160,63.466,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.003308735,9.99596075628979e-06,0.000118976,3.59437639564538e-07,5.21339772476602e-05,1.57501036086878e-07,0.187682318,0.000567004
20-July-2024 (Day 5)/TG10-01136-2024-07-20T110800_07,-44733.6064,1.128895761,8.00775873392043e-115,0.986898506,612.9266325,0.03385079,2.04202737187532e-72,0.933334958,7/20/2024,110800,7,11H 8M 0S,30.88,767.2,160,62.643,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.007903205,0.000236984,0.000284186,8.52152283597816e-06,0.000126163,3.78308829398337e-06,0.454185432,0.013619118
20-July-2024 (Day 5)/TG10-01136-2024-07-20T111300_08,-58893.93555,1.471423672,4.55986229413521e-116,0.987509484,911.8390445,0.026237208,8.92744543588694e-67,0.917234872,7/20/2024,111300,8,11H 13M 0S,30.88,767.2,160,62.965,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.010301184,0.000183682,0.000370413,6.60489642785348e-06,0.000163602,2.91720797268324e-06,0.588966289,0.010501949
20-July-2024 (Day 5)/TG10-01136-2024-07-20T112300_09,-38127.46762,0.941479821,2.92980035173129e-129,0.992471132,1696.020757,0.007005528,3.44575908563901e-42,0.787635155,7/20/2024,112300,9,11H 23M 0S,30.88,767.2,160,61.917,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.006591138,4.90444970320344e-05,0.000237006,1.76355616799836e-06,0.000106451,7.92100667539358e-07,0.383224265,0.002851562
20-July-2024 (Day 5)/TG10-01136-2024-07-20T112900_10,-46934.289,1.148218286,3.46772369806196e-121,0.989737025,831.8189261,0.02763678,2.29986070864266e-75,0.940463146,7/20/2024,112900,10,11H 29M 0S,30.88,767.2,160,62.317,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.008038478,0.00019348,0.00028905,6.95722167921499e-06,0.000128993,3.10477076881108e-06,0.464376026,0.011177175
20-July-2024 (Day 5)/TG10-01136-2024-07-20T113300_11,-43961.35918,1.068820878,1.00206266621203e-115,0.987344514,880.5018536,0.026071522,7.64550232484817e-73,0.934416989,7/20/2024,113300,11,11H 33M 0S,30.88,767.2,160,61.761,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.007482631,0.000182522,0.000269063,6.56318705423216e-06,0.000121155,2.95529541296287e-06,0.436156662,0.010639063
20-July-2024 (Day 5)/TG10-01136-2024-07-20T113900_12,-53289.259,1.283426755,1.35407350720505e-109,0.98398799,854.0016029,0.026486893,2.6911827941751e-63,0.905422408,7/20/2024,113900,12,11H 39M 0S,30.88,767.2,160,62.019,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.00898505,0.00018543,0.000323087,6.6677516386785e-06,0.000144876,2.98989019494026e-06,0.52155275,0.010763605
20-July-2024 (Day 5)/TG10-01136-2024-07-20T114500_13,-14439.11194,0.353449083,1.80395785140514e-83,0.956373106,727.7842304,0.029279957,3.92180796024452e-65,0.911853354,7/20/2024,114500,13,11H 45M 0S,30.88,767.2,160,60.979,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.002474436,0.000204984,8.89764880021191e-05,7.37087152218711e-06,4.05784942357205e-05,3.3615506977812e-06,0.146082579,0.012101583
20-July-2024 (Day 5)/TG10-01136-2024-07-20T114900_14,-12506.45082,0.305732411,2.1113265575318e-90,0.966560164,-41.25388608,0.049202501,1.10154056044788e-41,0.783491051,7/20/2024,114900,14,11H 49M 0S,30.88,767.2,160,61.789,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.00214038,0.000344458,7.69643988594854e-05,1.23861283903956e-05,3.46401463043584e-05,5.57474631406885e-06,0.124704527,0.020069087
20-July-2024 (Day 5)/TG10-01136-2024-07-20T115400_15,-14087.82959,0.340777388,1.33755570466163e-80,0.951295385,575.957765,0.032633756,4.62998520238414e-69,0.924179192,7/20/2024,115400,15,11H 54M 0S,30.88,767.2,160,61.495,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.002385724,0.000228463,8.5786543627961e-05,8.21514943540971e-06,3.87954142613221e-05,3.71514757297341e-06,0.139663491,0.013374531
20-July-2024 (Day 5)/TG10-01136-2024-07-20T120400_17,-22892.9768,0.53851883,6.56742753387985e-77,0.943887403,1245.255909,0.016685062,3.82422883895185e-45,0.810356582,7/20/2024,120400,17,12H 4M 0S,30.88,767.2,160,61.653,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.003770078,0.000116809,0.000135566,4.20026036606388e-06,6.11499521515579e-05,1.8946198887321e-06,0.220139828,0.006820632
20-July-2024 (Day 5)/TG10-01136-2024-07-20T120900_18,-20708.72596,0.485225169,6.15107411198927e-80,0.950041498,982.8952603,0.022650609,8.36937505048663e-65,0.910733562,7/20/2024,120900,18,12H 9M 0S,30.88,767.2,160,61.837,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.003396978,0.000158573,0.00012215,5.70201409956285e-06,5.49343920306613e-05,2.56437084593366e-06,0.197763811,0.009231735
20-July-2024 (Day 5)/TG10-01136-2024-07-20T121300_82,-513.1683251,0.022795242,3.67077603813206e-33,0.699998857,1248.249245,0.016204791,1.73254071243983e-83,0.956402456,7/20/2024,121300,82,12H 13M 0S,30.88,767.2,160,NA,27.8,BLANK,NA,BLANK,NA,NA,NA,NA,NA,NA,NA,0.000159586,0.000113447,5.73842370414992e-06,4.0793580852118e-06,NA,NA,NA,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T122100_83,-225.7999798,0.015951048,7.96924412049419e-23,0.554773803,1546.753603,0.00941468,1.20516889473538e-31,0.682091013,7/20/2024,122100,83,12H 21M 0S,30.88,767.2,160,NA,27.8,BLANK,NA,BLANK,NA,NA,NA,NA,NA,NA,NA,0.000111671,6.59105553739583e-05,4.01548135243123e-06,2.37003075778347e-06,NA,NA,NA,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T123800_19,-47054.91383,1.045676632,2.43313651744976e-183,0.99905505,-22653.87896,0.540948513,9.69543366993527e-130,0.992608618,7/20/2024,123800,19,12H 38M 0S,30.88,767.2,160,62.472,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.007320602,0.003787087,0.000263236,0.000136177,0.000117182,6.06205500064029e-05,0.421855667,0.21823398
20-July-2024 (Day 5)/TG10-01136-2024-07-20T124400_20,-40081.74741,0.884885177,2.91710159220128e-139,0.994870912,-167.1127365,0.046513593,7.49152805056122e-124,0.990734853,7/20/2024,124400,20,12H 44M 0S,30.88,767.2,160,62.457,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.006194929,0.000325634,0.000222759,1.17092286795345e-05,9.91871047280529e-05,5.21373104696031e-06,0.357073577,0.018769432
20-July-2024 (Day 5)/TG10-01136-2024-07-20T125000_21,-79689.78928,1.735580872,1.27360301099776e-181,0.998990616,-59503.83525,1.330091699,3.46203938442895e-212,0.999687658,7/20/2024,125000,21,12H 50M 0S,30.88,767.2,160,62.606,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.012150503,0.009311743,0.000436911,0.000334834,0.000194079,0.000148736,0.698684005,0.535448277
20-July-2024 (Day 5)/TG10-01136-2024-07-20T125500_22,-48572.23204,1.054960845,1.9208993877393e-132,0.993336887,1369.470379,0.012889522,8.61093952816439e-70,0.926273949,7/20/2024,125500,22,12H 55M 0S,30.88,767.2,160,57.215,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.007385599,9.02373217720322e-05,0.000265574,3.24477963941144e-06,0.000129085,1.57716196403097e-06,0.464706046,0.005677783
20-July-2024 (Day 5)/TG10-01136-2024-07-20T130100_23,-125400.686,2.682299266,2.42097478230843e-30,0.998700508,-3727.185539,0.121270469,5.48875625476996e-16,0.964629787,7/20/2024,130100,23,13H 1M 0S,30.88,767.2,160,62.493,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.018778315,0.000848994,0.000675236,3.05283587183565e-05,0.000300487,1.35854255676636e-05,1.0817521,0.048907532
20-July-2024 (Day 5)/TG10-01136-2024-07-20T130700_24,-47257.16034,1.010344233,5.64538081166684e-143,0.995552101,157.551259,0.038224611,1.00267907261591e-131,0.993150837,7/20/2024,130700,24,13H 7M 0S,30.88,767.2,160,62.215,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.007073246,0.000267604,0.000254342,9.62257875975449e-06,0.00011369,4.30127782689062e-06,0.409285311,0.0154846
20-July-2024 (Day 5)/TG10-01136-2024-07-20T131300_25,-162090.1618,3.413129852,9.82574897780699e-92,0.96822635,310.2187989,0.03479015,5.8065678213333e-65,0.911275391,7/20/2024,131300,25,13H 13M 0S,30.88,767.2,160,62.259,27.8,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.023894734,0.00024356,0.000859214,8.75799518618084e-06,0.000383796,3.91204484492202e-06,1.381664376,0.014083361
20-July-2024 (Day 5)/TG10-01136-2024-07-20T132200_26,-98386.87835,2.054897694,2.68330506607227e-109,0.983804452,-889.7408661,0.059759171,3.31048858957254e-83,0.955929592,7/20/2024,132200,26,13H 22M 0S,30.88,767.2,160,62.125,27.8,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.014385985,0.000418364,0.000517295,1.50436410474571e-05,0.000231565,6.73422937625755e-06,0.833634543,0.024243226
20-July-2024 (Day 5)/TG10-01136-2024-07-20T133000_27,-183565.9612,3.790914593,3.42336043923283e-100,0.977031423,-378.0841081,0.048471653,9.45584298287018e-80,0.949682326,7/20/2024,133000,27,13H 30M 0S,30.88,767.2,160,61.987,27.8,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.02653954,0.000339342,0.000954316,1.22021462969852e-05,0.000428147,5.47440592382274e-06,1.54132873,0.019707861
20-July-2024 (Day 5)/TG10-01136-2024-07-20T133800_28,-180932.602,3.700722795,1.15988818301416e-97,0.974690031,487.3624597,0.030465632,1.51721520686456e-71,0.93107037,7/20/2024,133800,28,13H 38M 0S,30.88,767.2,160,62.002,27.8,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.025908123,0.000213285,0.000931612,7.66935058778388e-06,0.000417859,3.43996967839747e-06,1.5042941,0.012383891
20-July-2024 (Day 5)/TG10-01136-2024-07-20T134300_29,-130433.509,2.652814355,1.22367106038651e-109,0.984014988,-401.2731197,0.04813734,4.04015974465531e-75,0.93990172,7/20/2024,134300,29,13H 43M 0S,30.88,767.2,160,62.164,27.8,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.018571896,0.000337001,0.000667814,1.21179871958835e-05,0.000298756,5.42116015700405e-06,1.075523222,0.019516177
20-July-2024 (Day 5)/TG10-01136-2024-07-20T134800_30,-115118.0542,2.32757653,1.63054466607414e-103,0.979780266,-537.1668554,0.050611028,1.92755293779371e-68,0.922356488,7/20/2024,134800,30,13H 48M 0S,30.88,767.2,160,62.75,27.8,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.016294962,0.000354319,0.000585939,1.27407079776685e-05,0.000259681,5.64651792828685e-06,0.93485041,0.020327465
20-July-2024 (Day 5)/TG10-01136-2024-07-20T135500_31,-55719.50659,1.123863337,7.42153057167734e-70,0.926456258,282.0872429,0.033845007,1.13821386121059e-78,0.947552922,7/20/2024,135500,31,13H 55M 0S,30.88,767.2,160,60.903,27.8,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.007867974,0.000236943,0.000282919,8.52006708400736e-06,0.000129189,3.89049800502438e-06,0.465079001,0.014005793
20-July-2024 (Day 5)/TG10-01136-2024-07-20T135900_32,-39113.54226,0.787529223,5.256801404068e-76,0.941909068,1094.89444,0.017500008,4.56108008476101e-64,0.908177075,7/20/2024,135900,32,13H 59M 0S,30.88,767.2,160,61.491,27.8,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.005513356,0.000122515,0.000198251,4.40541325243097e-06,8.96611861898489e-05,1.99240539265909e-06,0.32278027,0.007172659
20-July-2024 (Day 5)/TG10-01136-2024-07-20T140700_33,-31395.94973,0.628829972,1.85528784120359e-86,0.961097733,1582.125594,0.007808315,1.1151908688305e-38,0.757091027,7/20/2024,140700,33,14H 7M 0S,30.88,767.2,160,62.72,27.8,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.00440233,5.46646657610714e-05,0.0001583,1.96564781593209e-06,7.01902104591837e-05,8.7156673726198e-07,0.252684758,0.00313764
20-July-2024 (Day 5)/TG10-01136-2024-07-20T141100_34,-19193.04494,0.390577729,1.66327440687783e-78,0.947220446,3320.781801,-0.023874219,3.52265364925337e-21,0.52595721,7/20/2024,141100,34,14H 11M 0S,30.88,767.2,160,60.518,27.8,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.002734367,-0.000167139,9.8323170984575e-05,-6.01E-06,4.5182705971777e-05,-2.76E-06,0.162657741,-0.009942503
20-July-2024 (Day 5)/TG10-01136-2024-07-20T142100_35,-25176.46882,0.497440174,4.01805936028364e-92,0.968696252,1948.941701,0.000429547,0.196142562,0.013884659,7/20/2024,142100,35,14H 21M 0S,30.88,767.2,160,60.803,27.8,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.003482493,3.00718586105889e-06,0.000125224,1.08133256420672e-07,5.72750193247044e-05,4.94578534128068e-08,0.20619007,0.000178048
20-July-2024 (Day 5)/TG10-01136-2024-07-20T142700_36,-46158.6813,0.897808298,1.30180639865e-70,0.928557826,265.9606058,0.032843193,3.1030268263805e-33,0.700834903,7/20/2024,142700,36,14H 27M 0S,30.88,767.2,160,58.137,27.8,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.006285401,0.00022993,0.000226012,8.26787261251506e-06,0.000108114,3.95496843662384e-06,0.389208999,0.014237886
20-July-2024 (Day 5)/TG10-01136-2024-07-20T143200_85,-38.77048032,0.010250049,1.33028859227718e-12,0.343427021,1771.479839,0.003703609,1.37928274754232e-21,0.533255739,7/20/2024,143200,85,14H 32M 0S,30.88,767.2,160,NA,27.8,BLANK,NA,BLANK,NA,NA,NA,NA,NA,NA,NA,7.17588251307798e-05,2.59283317273083e-05,2.5803245282553e-06,9.32338429604757e-07,NA,NA,NA,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T143800_84,66.67051214,0.008154814,2.07006886159272e-09,0.259507314,1814.367169,0.003022097,2.23715069386717e-14,0.386071338,7/20/2024,143800,84,14H 38M 0S,30.88,767.2,160,NA,27.8,BLANK,NA,BLANK,NA,NA,NA,NA,NA,NA,NA,5.70904484753044e-05,2.11571800080164e-05,2.05287481033098e-06,7.60775980151615e-07,NA,NA,NA,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T113700_01,-8999.111197,0.227294662,1.64104231557894e-127,0.991948704,1810.336912,0.003045195,2.15754072601394e-15,0.409266088,7/22/2024,113700,1,11H 37M 0S,29.33,766.4,160,63.574,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.001597737,2.14057867650108e-05,5.7451889209518e-05,7.69715453614198e-07,2.51319250007865e-05,3.36706621653676e-07,0.09047493,0.001212144
22-july-2024 (Day 7)/TG10-01136-2024-07-22T115200_02,-11470.88925,0.280651045,5.01797516490398e-152,0.996857272,2303.760451,-0.008567813,6.97651853818722e-59,0.887983824,7/22/2024,115200,2,11H 52M 0S,29.33,766.4,160,62.698,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.001972799,-6.02E-05,7.09384576028949e-05,-2.17E-06,3.14651025551054e-05,-9.60E-07,0.113274369,-0.00345657
